угол: 0; радиус: 19
угол: 143; радиус: 16,2001371736305
угол: 144; радиус: 16,0034718455437
угол: 145; радиус: 15,8113883008419
угол: 146; радиус: 15,6240555270106
угол: 147; радиус: 15,4416464292006
угол: 148; радиус: 15,2643375224737
угол: 149; радиус: 15,1348108676653
угол: 150; радиус: 15,0083310198036
угол: 151; радиус: 14,8849756466042
угол: 152; радиус: 14,7648230602334
угол: 153; радиус: 14,6097380005408
угол: 154; радиус: 14,4606746423226
угол: 155; радиус: 14,3178210632764
угол: 156; радиус: 13,6565002837477
угол: 157; радиус: 13
угол: 158; радиус: 12,9243955371228
угол: 159; радиус: 12,8514590611339
угол: 160; радиус: 12,7812362469364
угол: 161; радиус: 12,7137720602503
угол: 162; радиус: 12,6491106406735
угол: 163; радиус: 12,5722909606802
угол: 164; радиус: 12,5
угол: 165; радиус: 12,4323167591564
угол: 166; радиус: 12,369316876853
угол: 167; радиус: 12,3223374405995
угол: 168; радиус: 12,2784363825367
угол: 169; радиус: 12,2376468326227
угол: 170; радиус: 12,2
угол: 171; радиус: 12,1655250605964
угол: 172; радиус: 12,1269328356349
угол: 173; радиус: 12,0933866224478
угол: 174; радиус: 12,0649285120137
угол: 175; радиус: 12,0415945787923
угол: 176; радиус: 11,827087553578
угол: 177; радиус: 11,6155068765853
угол: 178; радиус: 11,4070153852794
угол: 179; радиус: 11,2017855719524
угол: 180; радиус: 11
угол: 181; радиус: 11,0018180315801
угол: 182; радиус: 11,0072703246536
угол: 183; радиус: 11,0163514831363
угол: 184; радиус: 11,0290525431698
угол: 185; радиус: 11,0453610171873
угол: 186; радиус: 11,0652609548984
угол: 187; радиус: 11,0887330205033
угол: 188; радиус: 11,1157545852722
угол: 189; радиус: 11,1462998344742
угол: 190; радиус: 11,1803398874989
угол: 191; радиус: 11,2178429299041
угол: 192; радиус: 11,2587743560301
угол: 193; радиус: 11,3030969207558
угол: 194; радиус: 11,3507708989302
угол: 195; радиус: 11,4017542509914
угол: 196; радиус: 11,4560027932957
угол: 197; радиус: 11,5134703716994
угол: 198; радиус: 11,5741090369842
угол: 199; радиус: 11,6378692207809
угол: 200; радиус: 11,7046999107196
угол: 201; радиус: 11,7924764150708
угол: 202; радиус: 11,8848643240047
угол: 203; радиус: 11,9817569663218
угол: 204; радиус: 12,0830459735946
угол: 205; радиус: 12,0135977380735
угол: 206; радиус: 11,9471625868886
угол: 207; радиус: 11,8837910531917
угол: 208; радиус: 11,8235323980335
угол: 209; радиус: 11,7664344468423
угол: 210; радиус: 11,7125434244398
угол: 211; радиус: 11,6619037896906
угол: 212; радиус: 11,7924764150708
угол: 213; радиус: 11,9268604418766
угол: 214; радиус: 12,0649285120137
угол: 215; радиус: 12,2065556157337
угол: 216; радиус: 12,3516193270356
угол: 217; радиус: 12,5
угол: 218; радиус: 12,65158092888
угол: 219; радиус: 12,8062484748657
угол: 220; радиус: 13,0170827931778
угол: 221; радиус: 13,2329554941861
угол: 222; радиус: 13,4536240470737
угол: 223; радиус: 13,6788563524555
угол: 224; радиус: 13,9084306966834
угол: 225; радиус: 14,142135623731
угол: 226; радиус: 14,1440996728514
угол: 227; радиус: 14,1499901845274
угол: 228; радиус: 14,1598022585063
угол: 229; радиус: 14,1735277503129
угол: 230; радиус: 14,1911553049387
угол: 231; радиус: 14,2126704035519
угол: 232; радиус: 14,6030818665102
угол: 233; радиус: 15
угол: 234; радиус: 15,4029218007494
угол: 235; радиус: 15,8113883008419
угол: 236; радиус: 16,224980739588
угол: 237; радиус: 16,6433169770932
угол: 238; радиус: 17,066048165876
угол: 239; радиус: 17,4928556845359
угол: 240; радиус: 17,9234483289349
угол: 241; радиус: 18,3575597506858
угол: 242; радиус: 18,4560288252917
угол: 243; радиус: 18,5607111932706
угол: 244; радиус: 18,6715023498378
угол: 245; радиус: 18,7882942280559
угол: 246; радиус: 19,6977156035922
угол: 247; радиус: 20,6155281280883
угол: 248; радиус: 21,540659228538
угол: 249; радиус: 22,4722050542442
угол: 250; радиус: 22,6691175145591
угол: 251; радиус: 22,8740512857303
угол: 252; радиус: 23,0867927612304
угол: 253; радиус: 24,0416305603426
угол: 254; радиус: 25,9615099714943
угол: 255; радиус: 26,9258240356725
угол: 256; радиус: 28,1345971280123
угол: 257; радиус: 28,3823106098773
угол: 258; радиус: 28,6356421265527
угол: 259; радиус: 30,5941170815567
угол: 260; радиус: 29,4278779391243
угол: 261; радиус: 28,853076092507
угол: 262; радиус: 28,2842712474619
угол: 263; радиус: 26,1725046566048
угол: 264; радиус: 27,1661554144122
угол: 265; радиус: 25,0798724079689
угол: 266; радиус: 24,7229088543849
угол: 267; радиус: 24,3698356352457
угол: 268; радиус: 24,0208242989286
угол: 269; радиус: 23,5053185470863
угол: 270; радиус: 23
угол: 271; радиус: 22,6691175145591
угол: 272; радиус: 22,3432813664919
угол: 273; радиус: 22,0227155455452
угол: 274; радиус: 21,5522620622523
угол: 275; радиус: 21,095023109729
угол: 276; радиус: 20,0997512422418
угол: 277; радиус: 19,8046010366839
угол: 278; радиус: 19,5163748910726
угол: 279; радиус: 19,2353840616713
угол: 280; радиус: 19,0295822339851
угол: 281; радиус: 18,8281703837627
угол: 282; радиус: 18,6312908838867
угол: 283; радиус: 18,4390889145858
угол: 284; радиус: 18,1903515328563
угол: 285; радиус: 17,950549357115
угол: 286; радиус: 17,7200451466694
угол: 287; радиус: 17,5863583495845
угол: 288; радиус: 17,4562309792234
угол: 289; радиус: 17,3297432179476
угол: 290; радиус: 17,20697532979
угол: 291; радиус: 17,0880074906351
угол: 292; радиус: 16,9447632028305
угол: 293; радиус: 16,8077363139716
угол: 294; радиус: 16,6770800801579
угол: 295; радиус: 16,5529453572468
угол: 296; радиус: 16,1012421881046
угол: 297; радиус: 15,6524758424985
угол: 298; радиус: 15,5653461252874
угол: 299; радиус: 15,4828937863695
угол: 300; радиус: 15,4051939293214
угол: 301; радиус: 15,3323188070168
угол: 302; радиус: 15,2643375224738
угол: 303; радиус: 15,2013157325279
угол: 304; радиус: 15,1433153569488
угол: 305; радиус: 15,0903942957101
угол: 306; радиус: 15,042606157179
угол: 307; радиус: 15
угол: 308; радиус: 14,9626200914145
угол: 309; радиус: 14,9305056846712
угол: 310; радиус: 14,9036908180491
угол: 311; радиус: 14,8822041378285
угол: 312; радиус: 14,8660687473185
угол: 313; радиус: 14,8567231320444
угол: 314; радиус: 14,8511129399636
угол: 315; радиус: 14,8492424049175
угол: 316; радиус: 14,8511129399636
угол: 317; радиус: 14,8567231320444
угол: 318; радиус: 14,8660687473185
угол: 319; радиус: 14,8822041378285
угол: 320; радиус: 14,9036908180491
угол: 321; радиус: 14,9305056846712
угол: 322; радиус: 14,9626200914145
угол: 323; радиус: 15
угол: 324; радиус: 14,8024022074497
угол: 325; радиус: 14,6097380005407
угол: 326; радиус: 14,422205101856
угол: 327; радиус: 14,4702760474322
угол: 328; радиус: 14,522013940528
угол: 329; радиус: 14,5773797371132
угол: 330; радиус: 14,6363322667334
угол: 331; радиус: 14,6988283735662
угол: 332; радиус: 14,7648230602334
угол: 333; радиус: 14,8485689546165
угол: 334; радиус: 14,9372018798703
угол: 335; радиус: 15,0306353824447
угол: 336; радиус: 15,128780519262
угол: 337; радиус: 15,2315462117278
угол: 338; радиус: 15,3388395910512
угол: 339; радиус: 15,4505663326624
угол: 340; радиус: 15,566630977832
угол: 341; радиус: 15,6869372409021
угол: 342; радиус: 15,8113883008419
угол: 343; радиус: 15,9726328449633
угол: 344; радиус: 16,140012391569
угол: 345; радиус: 16,3133381010755
угол: 346; радиус: 16,4924225024706
угол: 347; радиус: 16,6770800801579
угол: 348; радиус: 16,867127793433
угол: 349; радиус: 17,0623855307516
угол: 350; радиус: 17,2626765016321
угол: 351; радиус: 17,2078793321871
угол: 352; радиус: 17,1593835683117
угол: 353; радиус: 17,1172427686237
угол: 354; радиус: 17,3385408843997
угол: 355; радиус: 17,5641680702503
угол: 356; радиус: 17,7939596492742
угол: 357; радиус: 18,0277563773199
угол: 358; радиус: 18,3454505410893
угол: 359; радиус: 18,6696426199206
